"","r_id","collection"
"267",306510,"Sunday Brunches"
"268",71798,"Newly Opened"
"269",68178,"Street Food"
"270",6281,"Butter Chicken"
"271",9565,"Himalayan Cuisine"
"272",310089,"Frozen Delights"
"273",3079,"Kebab Places"
"274",2725,"Pan-Asian Delicacies"
"275",3642,"Brilliant Biryanis"
"276",311147,"Sweet Tooth"
"277",94468,"Frozen Delights"
"278",70887,"Street Food"
"279",9770,"Sweet Tooth"
"280",3027,"Business Dining"
"281",70421,"Sweet Tooth"
"282",66735,"Pocket Friendly"
"283",305599,"Regional Favorites"
"284",4910,"Romantic"
"285",4502,"Late Night Eats"
"286",303215,"Frozen Delights"
"287",6360,"Street Food"
"288",312767,"Healthy Breakfast"
"289",70588,"Juices & Shakes"
"290",69219,"Veggie Friendly"
"291",69010,"Super Seafood"
"292",4356,"Pan-Asian Delicacies"
"293",2443,"Meat Cravings"
"294",304628,"Street Food"
"295",305220,"Kebab Places"
"296",6812,"Pan-Asian Delicacies"
"297",307416,"Hot Night Clubs"
"298",71275,"Sweet Tooth"
"299",69989,"Pocket Friendly"
"300",66339,"Street Food"
"301",306122,"Frozen Delights"
"302",304744,"Hidden Gems"
"303",9095,"Hidden Gems"
"304",306319,"Brilliant Biryanis"
"305",5467,"Old Delhi Treats"
"306",308714,"Frozen Delights"
"307",311634,"Frozen Delights"
"308",97782,"Newly Opened"
"309",67171,"Kickass Burgers"
"310",66829,"Juices & Shakes"
"311",66695,"Terrific Thalis"
"312",2749,"Romantic"
"313",4357,"Late Night Eats"
"314",302282,"Romantic"
"315",311584,"Late Night Delivery"
"316",3924,"Sunday Brunches"
"317",2902,"Hidden Gems"
"318",300999,"Himalayan Cuisine"
"319",307272,"Late Night Delivery"
"320",7461,"Pocket Friendly"
"321",302849,"Old Delhi Treats"
"322",5878,"Street Food"
"323",97864,"Newly Opened"
"324",67109,"Juices & Shakes"
"325",70440,"Pocket Friendly"
"326",66146,"Legendary Restaurants"
"327",69437,"Kebab Places"
"328",67263,"Pocket Friendly"
"329",70047,"Pocket Friendly"
"330",305758,"Great Coffee"
"331",309401,"Sweet Tooth"
"332",301534,"Regional Favorites"
"333",2595,"Brilliant Biryanis"
"334",309715,"Rooftops"
"335",5565,"Student Faves"
"336",307415,"Pocket Friendly Bars"
"337",66882,"Sweet Tooth"
"338",66657,"Pan-Asian Delicacies"
"339",66566,"Regional Favorites"
"340",70896,"Pocket Friendly"
"341",2708,"Sunday Brunches"
"342",307971,"Rooftops"
"343",9166,"Old Delhi Treats"
"344",9825,"Late Night Delivery"
"345",2698,"Pan-Asian Delicacies"
